Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,year,month,quarter,day_of_week,is_weekend,Weekly_Sales_rolling_4,Weekly_Sales_rolling_12,Weekly_Sales_growth_rate
1,2010-05-02,1643690.9,False,42.31,2.572,211.0963582,8.106,2010.0,5.0,2.0,6.0,True,1643690.9,1643690.9,
1,2010-12-02,1641957.44,True,38.51,2.548,211.2421698,8.106,2010.0,12.0,4.0,3.0,False,1642824.17,1642824.17,-0.0010546143438525668
1,,1611968.17,False,39.93,2.514,211.2891429,8.106,,,,,False,1632538.8366666667,1632538.8366666667,-0.01826434063966975
1,,1409727.59,False,46.63,2.561,211.3196429,8.106,,,,,False,1576836.025,1576836.025,-0.1254618942010498
1,2010-05-03,1554806.68,False,46.5,2.625,211.3501429,8.106,2010.0,5.0,2.0,0.0,False,1554614.9699999997,1572430.156,0.1029128542486708
1,2010-12-03,1439541.59,False,57.79,2.667,211.3806429,8.106,2010.0,12.0,4.0,4.0,False,1504011.0075,1550282.0616666665,-0.07413467634445703
1,,1472515.79,False,54.58,2.72,211.215635,8.106,,,,,False,1469147.9125,1539172.5942857142,0.0229060419157463
1,,1404429.92,False,51.45,2.732,211.0180424,8.106,,,,,False,1467823.495,1522329.76,-0.04623778601382611
1,2010-02-04,1594968.28,False,62.27,2.719,210.8204499,7.808,2010.0,2.0,1.0,3.0,False,1477863.895,1530400.7066666665,0.13566953913941115
1,2010-09-04,1545418.53,False,65.86,2.77,210.6228574,7.808,2010.0,9.0,3.0,5.0,True,1504333.13,1531902.489,-0.03106629180111342
1,,1466058.28,False,66.32,2.808,210.4887,7.808,,,,,False,1502718.7525,1525916.651818182,-0.05135194671180754
1,,1391256.12,False,64.84,2.795,210.4391228,7.808,,,,,False,1499425.3025,1514694.9408333332,-0.051022637381100466
1,,1425100.71,False,67.41,2.78,210.3895456,7.808,,,,,False,1456958.41,1496479.0916666668,0.024326642315147362
1,2010-07-05,1603955.12,False,72.55,2.835,210.3399684,7.808,2010.0,7.0,3.0,0.0,False,1471592.5575,1493312.2316666667,0.1255029969074959
1,,1494251.5,False,74.78,2.854,210.3374261,7.808,,,,,False,1478640.8625,1483502.5091666665,-0.06839569176972993
1,,1399662.07,False,76.44,2.826,210.6170934,7.808,,,,,False,1480742.35,1482663.7158333333,-0.06330221518934387
1,,1432069.95,False,80.44,2.759,210.8967606,7.808,,,,,False,1482484.6600000001,1472435.655,0.02315407461173824
1,2010-04-06,1615524.71,False,80.69,2.705,211.1764278,7.808,2010.0,4.0,2.0,1.0,False,1485377.0575,1487100.915,0.12810460829793957
1,2010-11-06,1542561.09,False,80.43,2.668,211.4560951,7.808,2010.0,11.0,4.0,5.0,True,1497454.455,1492938.0233333334,-0.0451640383761136
1,,1503284.06,False,84.11,2.637,211.4537719,7.808,,,,,False,1523359.9525,1501175.8683333334,-0.025462220105655575
1,,1422711.6,False,84.34,2.653,211.3386526,7.808,,,,,False,1521020.365,1486821.1450000003,-0.05359762811560709
1,2010-02-07,1492418.14,False,80.91,2.669,211.2235333,7.787,2010.0,2.0,1.0,6.0,True,1490243.7225,1482404.4458333335,0.04899555187432214
1,2010-09-07,1546074.18,False,80.48,2.642,211.108414,7.787,2010.0,9.0,3.0,1.0,False,1491121.9949999999,1489072.4375,0.03595241746391542
1,,1448938.92,False,83.15,2.623,211.1003854,7.787,,,,,False,1477535.71,1493879.3375000001,-0.06282703718653393
1,,1385065.2,False,83.36,2.608,211.2351443,7.787,,,,,False,1468124.1099999999,1490543.045,-0.044083100480177606
1,,1371986.6,False,81.84,2.64,211.3699032,7.787,,,,,False,1438016.225,1471212.335,-0.009442587973475858
1,2010-06-08,1605491.78,False,87.16,2.627,211.5046621,7.787,2010.0,6.0,2.0,1.0,False,1452870.625,1480482.3583333334,0.17019494213719
1,,1508237.76,False,87.0,2.692,211.6394211,7.787,,,,,False,1467695.335,1489530.3325000003,-0.06057584424381168
1,,1513080.49,False,86.65,2.664,211.6033633,7.787,,,,,False,1499699.1575,1496281.2108333334,0.0032108531747674363
1,,1449142.92,False,85.22,2.619,211.5673056,7.787,,,,,False,1518988.2374999998,1482416.0616666668,-0.04225655569717912
1,2010-03-09,1540163.53,False,81.21,2.577,211.5312479,7.787,2010.0,3.0,1.0,1.0,False,1502656.175,1482216.265,0.0628099608008299
1,2010-10-09,1507460.69,True,78.69,2.565,211.4951902,7.787,2010.0,10.0,4.0,5.0,True,1502461.9074999997,1482564.3175,-0.021233355655421948
1,,1430378.67,False,82.11,2.582,211.5224596,7.787,,,,,False,1481786.4525000001,1483203.24,-0.051133684952010316
1,,1351791.03,False,80.94,2.624,211.5972246,7.787,,,,,False,1457448.48,1471484.3141666667,-0.05494184277789871
1,2010-01-10,1453329.5,False,71.89,2.603,211.6719895,7.838,2010.0,1.0,1.0,6.0,True,1435739.9725,1463755.5908333333,0.07511402853442517
1,2010-08-10,1508239.93,False,63.93,2.633,211.7467544,7.838,2010.0,8.0,3.0,1.0,False,1435934.7824999997,1468697.3416666668,0.03778250561899421
1,,1459409.1,False,67.18,2.72,211.8137436,7.838,,,,,False,1443192.39,1474892.6666666667,-0.03237603582077275
1,,1345454.0,False,69.86,2.725,211.8612937,7.838,,,,,False,1441608.1325,1472681.6166666665,-0.0780830405949916
1,,1384209.22,False,69.64,2.716,211.9088438,7.838,,,,,False,1424328.0625,1454241.4033333333,0.028804567082932664
1,2010-05-11,1551659.28,False,58.74,2.689,211.9563939,7.838,2010.0,5.0,2.0,1.0,False,1435182.9,1457859.8633333333,0.12097164039985242
1,2010-12-11,1494479.49,False,59.61,2.728,212.003944,7.838,2010.0,12.0,4.0,5.0,True,1443950.4975,1456309.78,-0.036850738262590776
1,,1483784.18,False,51.41,2.771,211.8896737,7.838,,,,,False,1478533.0425,1459196.5516666668,-0.0071565451861772544
1,,1955624.11,True,64.52,2.735,211.7484333,7.838,,,,,False,1621386.765,1493818.2666666666,0.31799768211573753
1,2010-03-12,1548033.78,False,49.27,2.708,211.607193,7.838,2010.0,3.0,1.0,4.0,False,1620480.39,1497199.3575,-0.2084195668870129
1,2010-10-12,1682614.26,False,46.33,2.843,211.4659526,7.838,2010.0,10.0,4.0,1.0,False,1667514.0825,1518218.99,0.08693639747318693
1,,1891034.93,False,49.84,2.869,211.4053124,7.838,,,,,False,1769326.77,1563155.9816666665,0.12386717202788944
1,,2387950.2,False,52.33,2.886,211.4051222,7.838,,,,,False,1877408.2925,1641041.0399999998,0.26277424182746345
1,,1367320.01,True,48.43,2.943,211.4049321,7.838,,,,,False,1832229.85,1629297.7133333331,-0.4274084903445642
